Processed date/time,Lot No.,Measured Value
23/4/2024 05:30:00,0423-0247-05819,240215-60-0001
23/4/2024 05:30:03,0423-0247-05820,240215-60-0001
23/4/2024 05:30:06,0423-0247-05821,240215-60-0001
23/4/2024 05:30:09,0423-0247-05822,240215-60-0001
23/4/2024 05:30:12,0423-0247-05823,240215-60-0001
23/4/2024 05:30:24,0423-0247-05824,240215-60-0001
23/4/2024 05:30:27,0423-0247-05825,240215-60-0001
23/4/2024 05:30:30,0423-0247-05826,240215-60-0001
23/4/2024 05:30:33,0423-0247-05827,240215-60-0001
23/4/2024 05:30:35,0423-0247-05828,240222-60-0003
23/4/2024 05:30:38,0423-0247-05829,240222-60-0003
23/4/2024 05:30:41,0423-0247-05830,240222-60-0003
23/4/2024 05:30:44,0423-0247-05831,240222-60-0003
23/4/2024 05:30:47,0423-0247-05832,240222-60-0003
23/4/2024 05:30:49,0423-0247-05833,240222-60-0003
23/4/2024 05:30:52,0423-0247-05834,240222-60-0003
23/4/2024 05:30:55,0423-0247-05835,240222-60-0003
23/4/2024 05:30:58,0423-0247-05836,240222-60-0003
23/4/2024 05:31:01,0423-0247-05837,240222-60-0003
23/4/2024 05:31:04,0423-0247-05838,240222-60-0003
23/4/2024 05:31:06,0423-0247-05839,240222-60-0003
23/4/2024 05:31:09,0423-0247-05840,240222-60-0003
23/4/2024 05:31:12,0423-0247-05841,240222-60-0003
23/4/2024 05:31:15,0423-0247-05842,240222-60-0003
23/4/2024 05:31:18,0423-0247-05843,240222-60-0003
23/4/2024 05:31:20,0423-0247-05844,240222-60-0003
23/4/2024 05:31:23,0423-0247-05845,240222-60-0003
23/4/2024 05:31:26,0423-0247-05846,240222-60-0003
23/4/2024 05:31:29,0423-0247-05847,240222-60-0003
23/4/2024 05:31:32,0423-0247-05848,240222-60-0003
23/4/2024 05:31:35,0423-0247-05849,240222-60-0003
23/4/2024 05:31:37,0423-0247-05850,240222-60-0003
23/4/2024 05:31:40,0423-0247-05851,240222-60-0003
23/4/2024 05:31:43,0423-0247-05852,240222-60-0003
23/4/2024 05:31:46,0423-0247-05853,240222-60-0003
23/4/2024 05:31:49,0423-0247-05854,240222-60-0003
23/4/2024 05:31:52,0423-0247-05855,240222-60-0003
23/4/2024 05:31:55,0423-0247-05856,240222-60-0003
23/4/2024 05:31:58,0423-0247-05857,240222-60-0003
23/4/2024 05:32:00,0423-0247-05858,240222-60-0003
23/4/2024 05:32:03,0423-0247-05859,240222-60-0003
